Kennzeichen,Beispiel
BA,Erkennungsobjekt für elektrisches Potential
BA,Objekt zur Erkennung von elektrischem Potential
BA,Kopplungskondensator
BA,"Kopplung bzw. Kondensator steht für: ein Bauteil in der Elektrotechnik, siehe Kondensator eine Komponente von Wärmekraftmaschinen und Kälteanlagen, siehe Kondensator Siehe auch: Kondensor. "
BA,Messspannungsrelais
BA,"Ein Relais ist ein durch elektrischen Strom betriebener, fernbetätigter Schalter mit in der Regel zwei Schaltstellungen. "
BA,Spannungswandler für Messzwecke
BA,Spannungsrelais
BA,"Spannung steht für: Elektrische Spannung, eine physikalische Größe, die das spezifische Arbeitsvermögen der Ladung angibt Mechanische Spannung, über einen Querschnitt verteilte Kraft pro Flächeneinheit, welche. Ein Relais ist ein durch elektrischen Strom betriebener, fernbetätigter Schalter mit in der Regel zwei Schaltstellungen. "
BA,Spannungswandler
BA,"Spannung steht für: Elektrische Spannung, eine physikalische Größe, die das spezifische Arbeitsvermögen der Ladung angibt Mechanische Spannung, über einen Querschnitt verteilte Kraft pro Flächeneinheit, welche. Wandler ist der Oberbegriff für Baugruppen oder Bauelemente, die eine Energieform in eine andere Energieform umwandeln oder aber den Wert einer physikalischen Größe in einen. "
BB,Erkennungsobjekt für Widerstand oder Leitfähigkeit
BB,Objekt zur Erkennung von Widerstand
BB,Detektor für elektrischen Widerstand
BB,Sensor für elektrischen Widerstand
BB,Detektor für thermischen Widerstand
BC,Erkennungsobjekt für elektrischen Strom
BC,Objekt zur Erkennung von elektrischem Strom
BC,elektronisches Überlastrelais
BC,Messstromrelais
BC,"Ein Relais ist ein durch elektrischen Strom betriebener, fernbetätigter Schalter mit in der Regel zwei Schaltstellungen. "
BC,Stromwandler für Messzwecke
BC,Überlastrelais
BC,". Ein Relais ist ein durch elektrischen Strom betriebener, fernbetätigter Schalter mit in der Regel zwei Schaltstellungen. "
BD,Erkennungsobjekt für Dichte
BD,Dichteerkennungsobjekt
BD,"Als Kennung eines Leuchtfeuers bezeichnet man die Eigenschaften, die in der Nacht dessen Identifizierung ermöglichen. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
BD,Senkwage
BD,Dichtesensor
BD,Dichteschalter
BD,"Halter steht für: Halter, Besitzer der Verfügungsgewalt über ein Kraftfahrzeug, siehe Fahrzeughalter Halter, eigenverantwortliche Sorge für ein Tier, siehe Tierhaltung Halter, Kuhhirt auf einer Alm,. "
BD,Dichtewandler
BD,Hydrometer
BD,"Hydro steht für: griechischer Wortstamm im Zusammenhang mit Wasser, siehe Liste griechischer Wortstämme in deutschen Fremdwörtern #hydro Hydro-Car, ehemalige US-amerikanische Automarke Norsk Hydro, internationaler Aluminiumhersteller. Met, auch Honigwein genannt, ist ein alkoholisches Getränk aus Honig und Wasser. "
BE,Erkennungsobjekt für Spannungsfeld
BE,Spannungsfelderkennungsobjekt
BE,"Spannung steht für: Elektrische Spannung, eine physikalische Größe, die das spezifische Arbeitsvermögen der Ladung angibt Mechanische Spannung, über einen Querschnitt verteilte Kraft pro Flächeneinheit, welche. Feld steht für: eine Fläche in Spiel und Sport, das Spielfeld eine landwirtschaftliche Fläche für den Anbau von Nutzpflanzen, siehe Acker Bereich der nicht ionisierenden. Als Kennung eines Leuchtfeuers bezeichnet man die Eigenschaften, die in der Nacht dessen Identifizierung ermöglichen. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
BE,Spannungsfelddetektor
BE,"Spannung steht für: Elektrische Spannung, eine physikalische Größe, die das spezifische Arbeitsvermögen der Ladung angibt Mechanische Spannung, über einen Querschnitt verteilte Kraft pro Flächeneinheit, welche. Feld steht für: eine Fläche in Spiel und Sport, das Spielfeld eine landwirtschaftliche Fläche für den Anbau von Nutzpflanzen, siehe Acker Bereich der nicht ionisierenden. Detektor steht für: Sensor, ein technisches Bauteil einen Gerätetyp für den Radioempfang, siehe Detektorempfänger in der Physik einen Strahlungsdetektor oder Teilchendetektor den Metalldetektor zum Auffinden. "
BE,Spannungsfeldsensor
BE,"Spannung steht für: Elektrische Spannung, eine physikalische Größe, die das spezifische Arbeitsvermögen der Ladung angibt Mechanische Spannung, über einen Querschnitt verteilte Kraft pro Flächeneinheit, welche. Feld steht für: eine Fläche in Spiel und Sport, das Spielfeld eine landwirtschaftliche Fläche für den Anbau von Nutzpflanzen, siehe Acker Bereich der nicht ionisierenden. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BE,Magnetfelddetektor
BE,"Ein Magnet ist ein Körper, der ein magnetisches Feld in seiner Umgebung erzeugt. Feld steht für: eine Fläche in Spiel und Sport, das Spielfeld eine landwirtschaftliche Fläche für den Anbau von Nutzpflanzen, siehe Acker Bereich der nicht ionisierenden. Detektor steht für: Sensor, ein technisches Bauteil einen Gerätetyp für den Radioempfang, siehe Detektorempfänger in der Physik einen Strahlungsdetektor oder Teilchendetektor den Metalldetektor zum Auffinden. "
BE,Magnetfeldsensor
BE,"Ein Magnet ist ein Körper, der ein magnetisches Feld in seiner Umgebung erzeugt. Feld steht für: eine Fläche in Spiel und Sport, das Spielfeld eine landwirtschaftliche Fläche für den Anbau von Nutzpflanzen, siehe Acker Bereich der nicht ionisierenden. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BE,Reedrelais
BE,"Reed steht für: Reed – zu Namensträgern siehe dort Reed College in Portland, Oregon, USA Reed Elsevier, internationale Verlagsgruppe Reed Exhibitions, internationaler Messeveranstalter Reed International,. Ein Relais ist ein durch elektrischen Strom betriebener, fernbetätigter Schalter mit in der Regel zwei Schaltstellungen. "
BE,Reedschalter
BE,"Reed steht für: Reed – zu Namensträgern siehe dort Reed College in Portland, Oregon, USA Reed Elsevier, internationale Verlagsgruppe Reed Exhibitions, internationaler Messeveranstalter Reed International,. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BF,Erkennungsobjekt für Durchfluss
BF,Durchflusserkennungsobjekt
BF,"Durchfluss steht für: Volumenstrom, eine Messgröße einer Menge eines fließenden oder strömenden Mediums Abfluss, Volumenstrom in der Hydrologie Abzug , Gas- oder Luftvolumen pro Zeit. Erkennung bezeichnet einen kognitiven Prozess der Abstraktion, bei dem eine Wahrnehmung einem Begriff, Konzept oder einer Identifizierung zugeordnet wird. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
BF,Durchflusssensor
BF,"Durchfluss steht für: Volumenstrom, eine Messgröße einer Menge eines fließenden oder strömenden Mediums Abfluss, Volumenstrom in der Hydrologie Abzug , Gas- oder Luftvolumen pro Zeit. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BF,Durchflussschalter
BF,"Durchfluss steht für: Volumenstrom, eine Messgröße einer Menge eines fließenden oder strömenden Mediums Abfluss, Volumenstrom in der Hydrologie Abzug , Gas- oder Luftvolumen pro Zeit. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BF,Durchflussmesswertgeber
BF,"Durchfluss steht für: Volumenstrom, eine Messgröße einer Menge eines fließenden oder strömenden Mediums Abfluss, Volumenstrom in der Hydrologie Abzug , Gas- oder Luftvolumen pro Zeit. Ein Messwert ist der Wert einer Messgröße, der von einem Messgerät oder einer Messeinrichtung geliefert wird. Geber ist die Bezeichnung für eine Person, eine Organisation oder ein Gerät, die oder das etwas gibt: Funktion von Personen Kreditgeber Geber von Zuschüssen und. "
BF,Gasflusssensor
BF,"Neben fest und flüssig ist gasförmig einer der drei klassischen Aggregatzustände. Ein Fluss ist ein natürliches, linienhaft fließendes Gewässer auf Landoberflächen. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BF,Gasflussschalter
